1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,y
0,0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0
0,0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0
0,328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0
328.4194444,1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0
1824.994444,1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333
1284.366667,1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667
1642.25,1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111
1854.011111,0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667
0,794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0
794.8222222,0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889
0,0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0
0,0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0
0,0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0
0,0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0
0,0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0
0,0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889
0,0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0
0,0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0
0,558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725
558.4361111,1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444
1793.433333,1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0
1333.213889,0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333
0,0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333
0,0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556
0,0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222
0,0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0
0,0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0
0,550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0
550.2583333,646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0
646.9916667,567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0
567.4111111,1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889
1951.416667,0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0
0,1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0
1500.488889,0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0,3789.961111
0,0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0,3789.961111,1224.077778
0,0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0,3789.961111,1224.077778,17.77777778
0,0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0,3789.961111,1224.077778,17.77777778,0
0,0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0,3789.961111,1224.077778,17.77777778,0,0
0,1924.463889,0,0,162.725,1329.194444,0,3557.033333,2848.983333,1294.080556,19.42222222,0,0,0,0,0,3816.338889,0,0,3789.961111,1224.077778,17.77777778,0,0,0
