unique_key,taxi_id,trip_start_timestamp,trip_end_timestamp,trip_seconds,trip_miles,pickup_census_tract,dropoff_census_tract,pickup_community_area,dropoff_community_area,fare,tips,tolls,extras,trip_total,payment_type,company,pickup_latitude,pickup_longitude,pickup_location,dropoff_latitude,dropoff_longitude,dropoff_location
b6f00f50f296c1d5ae1761f71582cfaa5e36ec3d,ee8db2d81185fbc54a4bb998b4d2c0bed0903eb629aa8ee0214ccc82ad453fb9b4b8d3d5e613845b140a73e8eecf49fd6a9a4f084f5d64624c143ba7395a09e6,2015-05-30 23:30:00 UTC,2015-05-30 23:30:00 UTC,1,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
113427b275bb517995a4e60c417e2293bb037626,1f56b52fa8331c29e2db4edc37ce8938eaaf1dd3c659ed78daccdbc804be55dbf1ba5a37dd3b4b3c2e6d485e80f443600b07df0df55a19ef0184f703fbacb534,2015-06-02 23:30:00 UTC,2015-06-02 23:30:00 UTC,193,0.8,,,14,14,4.85,0.0,,0.0,4.85,Credit Card,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
1633a6d312f00384f56d9ef884fc1b6069e2c34c,1f56b52fa8331c29e2db4edc37ce8938eaaf1dd3c659ed78daccdbc804be55dbf1ba5a37dd3b4b3c2e6d485e80f443600b07df0df55a19ef0184f703fbacb534,2015-06-02 23:45:00 UTC,2015-06-02 23:45:00 UTC,2,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
0b8452490532be7096f73a7fbd7ef74384a95db3,d0a1ea3715891aed25d97dc21e080b252442d64e8a475abd3d2a5ed3a0ffa22649dbbb4db9438b7d0ca021b35584a151821b50164af1975d1c253429f719d85e,2015-05-30 18:00:00 UTC,2015-05-30 18:15:00 UTC,224,0.7,,,14,14,15.05,0.0,,0.0,15.05,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
0a6812f2f6e3f08fb705b13892fd7518d6746791,d4294376a21c2b53b51840eed8a63f64e8941b9d2f4640347ee54724f245a1ace8acfe6c498c4d80af948b43108e48c354032011cbbaf9f628ffa5ea3177d4b7,2015-05-31 03:00:00 UTC,2015-05-31 03:00:00 UTC,2,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
f0cc16965dd1b60c43a448fc5e71daef5e935e26,9ef40dfe34d6b28e89d9a42eb798c9f5e47359b20ac5f0bacfce00486f3566b48b024efbfa0afbbd3c763c74525dfabc9838d4164baba07592dc5e32c3d247b6,2015-05-30 22:00:00 UTC,2015-05-30 22:00:00 UTC,19,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
d07ff6b10f315f55faf800f12d2758ca74bd4b99,abc679e9c1fd04224b3a5d6074e96d4f7400d4ff4a392c9744c0e38951d64077db1aa667290fb23bd803152d3fbbce7af06f4aa640ae46344ab45843eef3c54f,2015-06-04 01:00:00 UTC,2015-06-04 01:00:00 UTC,78,0.5,,,14,14,4.25,0.0,,0.0,4.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
32ad35b7cae72f2d8c6d7374aad0bc13c77587e1,c803393ff29ffeb1529b56151fe8e67ad09c3a7dbf79d469df501f3e36243145589c393d7438968ba77759fdf04bef874318e335227a9e7a1d7570669a490dd0,2015-06-03 05:30:00 UTC,2015-06-03 05:30:00 UTC,27,0.0,,,14,14,3.25,0.0,,0.0,3.25,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
33298ab215a83e67af1f7d92086c6ca4d09565a8,1f56b52fa8331c29e2db4edc37ce8938eaaf1dd3c659ed78daccdbc804be55dbf1ba5a37dd3b4b3c2e6d485e80f443600b07df0df55a19ef0184f703fbacb534,2015-06-02 23:30:00 UTC,2015-06-02 23:30:00 UTC,52,0.0,,,14,14,3.45,0.0,,0.0,3.45,Cash,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
48950aa5debe01765084a6fc5eb9833a12f820bb,fbfc2ff558d0fc2dd96362ef65d25e08f00b13bc427645692cc034fb62d0ccf5f19c7187554fdf79c714323023b793de64da10de48051c38528f05ca5fc29e27,2015-06-01 13:15:00 UTC,2015-06-01 13:15:00 UTC,383,0.8,,,14,14,5.45,1.0,,1.0,7.45,Credit Card,Yellow Cab,41.968069,-87.721559063,POINT (-87.7215590627 41.968069),41.968069,-87.721559063,POINT (-87.7215590627 41.968069)
