,PV output,PeriodStart,hours
307,0.0,2018/11/09,19
306,0.0,2018/11/09,18
305,0.0,2018/11/09,17
304,0.0,2018/11/09,16
303,0.0,2018/11/09,15
302,506.8583333000001,2018/11/09,14
300,1249.305556,2018/11/09,12
311,0.0,2018/11/09,23
298,584.6027778,2018/11/09,10
288,0.0,2018/11/09,00
289,0.0,2018/11/09,01
290,0.0,2018/11/09,02
291,0.0,2018/11/09,03
292,0.0,2018/11/09,04
299,995.9777777999999,2018/11/09,11
294,0.0,2018/11/09,06
295,0.0,2018/11/09,07
296,0.0,2018/11/09,08
297,55.54166667,2018/11/09,09
293,0.0,2018/11/09,05
325,697.7251462,2018/11/10,13
326,433.9121212,2018/11/10,14
327,16.34722222,2018/11/10,15
328,0.0,2018/11/10,16
329,0.0,2018/11/10,17
331,0.0,2018/11/10,19
332,0.0,2018/11/10,20
333,0.0,2018/11/10,21
334,0.0,2018/11/10,22
324,911.9194444,2018/11/10,12
330,0.0,2018/11/10,18
335,0.0,2018/11/10,23
323,888.0277777999999,2018/11/10,11
321,122.93333329999999,2018/11/10,09
320,79.9,2018/11/10,08
319,0.0,2018/11/10,07
318,0.0,2018/11/10,06
317,0.0,2018/11/10,05
316,0.0,2018/11/10,04
315,0.0,2018/11/10,03
314,0.0,2018/11/10,02
313,0.0,2018/11/10,01
312,0.0,2018/11/10,00
322,652.0027855000001,2018/11/10,10
351,1050.522222,2018/11/11,15
352,33.73333333,2018/11/11,16
353,0.0,2018/11/11,17
354,0.0,2018/11/11,18
350,1490.347222,2018/11/11,14
356,0.0,2018/11/11,20
357,0.0,2018/11/11,21
358,0.0,2018/11/11,22
359,0.0,2018/11/11,23
355,0.0,2018/11/11,19
349,1378.497222,2018/11/11,13
348,1691.6666670000002,2018/11/11,12
336,0.0,2018/11/11,00
346,1033.8277779999999,2018/11/11,10
345,593.3527778,2018/11/11,09
344,102.3305556,2018/11/11,08
343,0.0,2018/11/11,07
342,0.0,2018/11/11,06
341,0.0,2018/11/11,05
340,0.0,2018/11/11,04
339,0.0,2018/11/11,03
338,0.0,2018/11/11,02
337,0.0,2018/11/11,01
347,938.3944444,2018/11/11,11
374,2092.075,2018/11/12,14
375,1049.416667,2018/11/12,15
376,0.0,2018/11/12,16
377,0.0,2018/11/12,17
383,0.0,2018/11/12,23
379,0.0,2018/11/12,19
381,0.0,2018/11/12,21
382,0.0,2018/11/12,22
373,3382.227778,2018/11/12,13
378,0.0,2018/11/12,18
372,2717.388889,2018/11/12,12
380,0.0,2018/11/12,20
370,480.3027778,2018/11/12,10
371,1132.638889,2018/11/12,11
361,0.0,2018/11/12,01
362,0.0,2018/11/12,02
363,0.0,2018/11/12,03
364,0.0,2018/11/12,04
360,0.0,2018/11/12,00
366,0.0,2018/11/12,06
367,0.0,2018/11/12,07
368,0.0,2018/11/12,08
369,327.55555560000005,2018/11/12,09
365,0.0,2018/11/12,05
398,324.7924528,2018/11/13,14
399,48.20277778,2018/11/13,15
400,0.0,2018/11/13,16
401,0.0,2018/11/13,17
403,0.0,2018/11/13,19
404,0.0,2018/11/13,20
405,0.0,2018/11/13,21
406,0.0,2018/11/13,22
397,762.7611111,2018/11/13,13
407,0.0,2018/11/13,23
402,0.0,2018/11/13,18
396,1059.761111,2018/11/13,12
392,0.438888889,2018/11/13,08
394,420.225,2018/11/13,10
393,196.1416667,2018/11/13,09
391,0.0,2018/11/13,07
390,0.0,2018/11/13,06
389,0.0,2018/11/13,05
388,0.0,2018/11/13,04
387,0.0,2018/11/13,03
386,0.0,2018/11/13,02
385,0.0,2018/11/13,01
384,0.0,2018/11/13,00
395,1123.183333,2018/11/13,11
425,0.0,2018/11/14,17
422,720.0388889,2018/11/14,14
423,34.12777778,2018/11/14,15
424,0.0,2018/11/14,16
426,0.0,2018/11/14,18
421,1079.877778,2018/11/14,13
428,0.0,2018/11/14,20
429,0.0,2018/11/14,21
430,0.0,2018/11/14,22
431,0.0,2018/11/14,23
427,0.0,2018/11/14,19
420,1922.127778,2018/11/14,12
408,0.0,2018/11/14,00
418,768.725,2018/11/14,10
409,0.0,2018/11/14,01
410,0.0,2018/11/14,02
411,0.0,2018/11/14,03
412,0.0,2018/11/14,04
419,1693.136111,2018/11/14,11
414,0.0,2018/11/14,06
415,0.0,2018/11/14,07
416,0.0,2018/11/14,08
417,143.00277780000002,2018/11/14,09
413,0.0,2018/11/14,05
446,292.875,2018/11/15,14
455,0.0,2018/11/15,23
454,0.0,2018/11/15,22
453,0.0,2018/11/15,21
452,0.0,2018/11/15,20
451,0.0,2018/11/15,19
450,0.0,2018/11/15,18
449,0.0,2018/11/15,17
448,0.0,2018/11/15,16
447,0.0,2018/11/15,15
445,710.6166667,2018/11/15,13
444,670.8027778,2018/11/15,12
432,0.0,2018/11/15,00
443,638.8305556,2018/11/15,11
433,0.0,2018/11/15,01
434,0.0,2018/11/15,02
436,0.0,2018/11/15,04
437,0.0,2018/11/15,05
435,0.0,2018/11/15,03
439,0.0,2018/11/15,07
440,0.0,2018/11/15,08
441,0.0,2018/11/15,09
442,409.17391299999997,2018/11/15,10
438,0.0,2018/11/15,06
473,0.0,2018/11/16,17
470,139.4555556,2018/11/16,14
471,0.0,2018/11/16,15
472,0.0,2018/11/16,16
474,0.0,2018/11/16,18
469,652.1972222,2018/11/16,13
476,0.0,2018/11/16,20
477,0.0,2018/11/16,21
478,0.0,2018/11/16,22
479,0.0,2018/11/16,23
475,0.0,2018/11/16,19
468,644.1111111,2018/11/16,12
456,0.0,2018/11/16,00
466,107.075,2018/11/16,10
465,0.0,2018/11/16,09
464,0.0,2018/11/16,08
463,0.0,2018/11/16,07
